Authors,Title,Year,DOI,Link,Author Keywords
"Reuter E.-M., Leow L.-A., Carroll T.J.","Task Feedback Processing Differs Between Young and Older Adults in Visuomotor Rotation Learning Despite Similar Initial Adaptation and Savings",2020,"10.1016/j.neuroscience.2020.09.038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095447811&doi=10.1016%2fj.neuroscience.2020.09.038&partnerID=40&md5=228e96f18788ff1e734f4a8fa5a81488","age/ageing; error-related negativity; feedback-related negativity; sensorimotor adaptation"
"Kothare H., Raharjo I., Ramanarayanan V., Ranasinghe K., Parrell B., Johnson K., Houde J.F., Nagarajan S.S.","Sensorimotor adaptation of speech depends on the direction of auditory feedback alteration",2020,"10.1121/10.0002876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099244610&doi=10.1121%2f10.0002876&partnerID=40&md5=bff461d0aa96b29d5e2dc0a8d156e48a",
"Heller Murray E.S., Stepp C.E.","Relationships between vocal pitch perception and production: a developmental perspective",2020,"10.1038/s41598-020-60756-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080955689&doi=10.1038%2fs41598-020-60756-2&partnerID=40&md5=8a532ad07f2d857ab0a5a3e7d492250f",
"Tsay J.S., Parvin D.E., Ivry R.B.","Continuous reports of sensed hand position during sensorimotor adaptation",2020,"10.1152/JN.00242.2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092750625&doi=10.1152%2fJN.00242.2020&partnerID=40&md5=3f613b11b45168ee54e0964f07f0acea","Error-based learning; Motor learning; Proprioception; Sensorimotor adaptation"
"Scott T.L., Haenchen L., Daliri A., Chartove J., Guenther F.H., Perrachione T.K.","Noninvasive neurostimulation of left ventral motor cortex enhances sensorimotor adaptation in speech production",2020,"10.1016/j.bandl.2020.104840","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088927939&doi=10.1016%2fj.bandl.2020.104840&partnerID=40&md5=acb94548cc2d2cad21aef6f3ea222811","Auditory feedback control; Auditory feedback perturbation; Formant perturbation; Motor learning; Premotor cortex; Sensorimotor adaptation; Speech production; tDCS"
"Bartolomeo L.A., Shin Y.-W., Block H.J., Bolbecker A.R., Breier A.F., O'Donnell B., Hetrick W.P.","Prism adaptation deficits in schizophrenia",2020,"10.1093/schbul/sbaa019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097006776&doi=10.1093%2fschbul%2fsbaa019&partnerID=40&md5=04005e5c7213a66a457ce47e35d045b0","Cerebellum; Motor adaptation; Prism adaptation; Schizophrenia"
"Gómez-Moya R., Diaz R., Vaca-Palomares I., Fernandez-Ruiz J.","Procedural and Strategic Visuomotor Learning Deficits in Children With Developmental Coordination Disorder",2020,"10.1080/02701367.2019.1675852","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075728187&doi=10.1080%2f02701367.2019.1675852&partnerID=40&md5=1f34b15e8a720dba011a28904cf489ee","prism adaptation; procedural learning; Sensorimotor adaptation; strategic-based learning"
"Lametti D.R., Quek M.Y.M., Prescott C.B., Brittain J.-S., Watkins K.E.","The perils of learning to move while speaking: One-sided interference between speech and visuomotor adaptation",2020,"10.3758/s13423-020-01725-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083399395&doi=10.3758%2fs13423-020-01725-8&partnerID=40&md5=dffa98e90f77f3575098cb308560924e","Adaptation; Sensorimotor adaptation; Speech production; Visuomotor adaptation"
"Wolpe N., Ingram J.N., Tsvetanov K.A., Henson R.N., Wolpert D.M., Tyler L.K., Brayne C., Bullmore E.T., Calder A.C., Cusack R., Dalgleish T., Duncan J., Matthews F.E., Marslen-Wilson W.D., Shafto M.A., Campbell K., Cheung T., Davis S., Geerligs L., Kievit R., McCarrey A., Mustafa A., Price D., Samu D., Taylor J.R., Treder M., van Belle J., Williams N., Bates L., Emery T., Erzinçlioglu S., Gadie A., Gerbase S., Georgieva S., Hanley C., Parkin B., Troy D., Auer T., Correia M., Gao L., Green E., Henriques R., Allen J., Amery G., Amunts L., Barcroft A., Castle A., Dias C., Dowrick J., Fair M., Fisher H., Goulding A., Grewal A., Hale G., Hilton A., Johnson F., Johnston P., Kavanagh-Williamson T., Kwasniewska M., McMinn A., Norman K., Penrose J., Roby F., Rowland D., Sargeant J., Squire M., Stevens B., Stoddart A., Stone C., Thompson T., Yazlik O., Barnes D., Dixon M., Hillman J., Mitchell J., Villis L., Rowe J.B., Cam-CAN","Age-related reduction in motor adaptation: brain structural correlates and the role of explicit memory",2020,"10.1016/j.neurobiolaging.2020.02.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081677002&doi=10.1016%2fj.neurobiolaging.2020.02.016&partnerID=40&md5=a8e3c4743012a4e7c3c5b9deef040f8c","Ageing; Cerebellum; Explicit memory; Medial temporal lobe; Motor control; Sensorimotor adaptation"
"Jossinger S., Mawase F., Ben-Shachar M., Shmuelof L.","Locomotor Adaptation Is Associated with Microstructural Properties of the Inferior Cerebellar Peduncle",2020,"10.1007/s12311-020-01116-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079458128&doi=10.1007%2fs12311-020-01116-8&partnerID=40&md5=c6a64bdeeec2f544b53361c107d39e52","Cerebellar peduncles; Cerebellum; Diffusion MRI; Locomotor adaptation; Tractography; White matter"
"Renault A.G., Lefumat H., Miall R.C., Bringoux L., Bourdin C., Vercher J.-L., Sarlegna F.R.","Individual movement features during prism adaptation correlate with after-effects and interlimb transfer",2020,"10.1007/s00426-018-1110-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056187550&doi=10.1007%2fs00426-018-1110-8&partnerID=40&md5=f93628cc5957c52b237fcad16f0deabd",
